"Timestamp","How much were your study habits affected by the student strikes of 2017?","How much were your study habits affected by Hurricane Maria?","How much were your study habits affected by the frequent power outages between 2018-19?","How much were your study habits affected by the increased frequency of earthquakes since 2019?","How much were your study habits affected by the COVID-19 Pandemic?","How was the amount of academic work you received affected by the student strikes of 2017?","How was the amount of academic work you received affected by Hurricane Maria?","How was the amount of academic work you received affected by the frequent power outages between 2018-19?","How was the amount of academic work you received affected by the increased frequency of earthquakes since 2019?","How was the amount of academic work you received affected by the COVID-19 Pandemic?","How do you feel these or other events affected your academic performance?","What resources or aid relating to academic performance do you feel should have been provided to the students by the university?"
"2020/11/12 3:29:21 PM AST","Minor changes to routine","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance is affected","Big changes to routine, did not affect performance","No change in amount of academic work","Academic work increased slightly, performance was affected","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","",""
"2020/11/12 3:41:56 PM AST","Big changes to routine, did not affect performance","Pretty much identical study habits","Unable or difficult to find new routine, performance was affected","Studying feels like a fruitless endeavor, performance is affected significantly","Studying feels like a fruitless endeavor, performance is affected significantly","Less academic work than before","No change in amount of academic work","Academic work increased slightly, performance was affected","Academic work increased slightly, performance is affected","Academic work doubled (or more), keeping up performance is very hard","Very stressed and anxious, my progress was not the same as before","Psychological help, stress hotlines, etc"
"2020/11/12 4:58:11 PM AST","N/a, wasn’t affected","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance was affected","Big changes to routine, did not affect performance","Studying feels like a fruitless endeavor, performance is affected significantly","No change in amount of academic work","Academic work doubled (or more), keeping up performance was very hard","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","--In any other semester I am a straight As or As and B student. During Hurricane María I got C in one class and failed another class with lab. Now during the Covid-19 I’m probably failing 3 out of my 6 classes (4 classes and 2 labs).
--The thing is not only did these events affect me, also most of the professors that I had to take class with during that time were very strict or not understanding at all. I had to dead with my flooded house, no light and scarce food during Hurricane María, the power shortages, the Covid-19 with light and internet shortages plus having to take care of a sick family member. These circumstances were already hard to take my classes, find time to study and hand in all my work; I ended either traveling a lot to find a place to be able to take classes/study or not sleep a lot of the consecutive nights. Professors doubled the work during the hurricane. Professors now during the pandemic have tripled the classes and work. 
--For example: Each of my classes this semester is supposed to be 3 hours weekly. My professors have sent me videos of classes that are 6 to 8 hours long in a week. Several of my classes have done this for most of my semester, plus I must hand in assignments of all my classes every week. So, I’m handing assignments from Monday to Saturday every week since the start of class.
--The worst part about this is that professors aren’t answering e-mails and don’t let you hand in assignments late. Also tried contacting the departments, they only sent a reminder letter to the professors. Then the professors made the assignments and classes even harder.","--As in resources, if the university could open the library and computer center even if it is limited it would help a lot. Maybe have designated open areas where students can go to connect to Wi-Fi and take classes.
--It would also help if there was a way for professors not to exceed the weekly class hours. 
A way for students to be able to contact professors better to ask questions since most professors are giving asynchronous classes and it is really hard to ask them about doubts. 
It would really be helpful if professors sent 1 or no more than 2 assignments per week. Because at some points in the semester I’ve received up to 4 different assignments from the same professor the same week."
"2020/11/12 5:36:21 PM AST","Unable or difficult to find new routine, performance was affected","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance was affected","Studying feels like a fruitless endeavor, performance is affected significantly","Studying feels like a fruitless endeavor, performance is affected significantly","Academic work increased slightly, performance was affected","Academic work doubled (or more), keeping up performance was very hard","Academic work increased slightly, performance was affected","Academic work doubled (or more), keeping up performance is very hard","Academic work doubled (or more), keeping up performance is very hard","real bad","Do not know"
"2020/11/12 5:42:25 PM AST","Pretty much identical study habits","Big changes to routine, did not affect performance","Unable or difficult to find new routine, performance was affected","Studying feels like a fruitless endeavor, performance is affected significantly","Studying feels like a fruitless endeavor, performance is affected significantly","","","","","","These pandemic conditions made me want to seriously drop out because there was just no point in studying when you were not learning at all. ","More leniency by the professors. All asynchronous courses. More technological training for both professors and students. Technological resources for those who didn’t have (and could not buy) the right equipment for online classes. "
"2020/11/12 6:24:36 PM AST","N/a, wasn’t affected","Big changes to routine, did not affect performance","Minor changes to routine","Pretty much identical study habits","Big changes to routine, did not affect performance","N/a, wasn’t affected","No change in amount of academic work","No change in amount of academic work","No change in amount of academic work","No change in amount of academic work","",""
"2020/11/12 6:35:28 PM AST","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance was affected","Studying felt like a fruitless endeavor, performance was affected significantly","Studying feels like a fruitless endeavor, performance is affected significantly","Studying feels like a fruitless endeavor, performance is affected significantly","No change in amount of academic work","Less academic work than before","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","It drains the motivation to keep studying ",""
"2020/11/12 8:58:28 PM AST","Minor changes to routine","Unable or difficult to find new routine, performance was affected","Big changes to routine, did not affect performance","Minor changes to routine","Unable or difficult to find new routine, performance is affected","No change in amount of academic work","No change in amount of academic work","No change in amount of academic work","No change in amount of academic work","Academic work increased slightly, performance is affected","Barely can properly study the assigned material due to too many assignments. ","Develop regulations to limit the amount of work assigned for a week. "
"2020/11/12 8:59:56 PM AST","N/a, wasn’t affected","N/a, wasn’t affected","N/a, wasn’t affected","N/a, wasn’t affected","Pretty much identical study habits","N/a, wasn’t affected","N/a, wasn’t affected","N/a, wasn’t affected","N/a, wasn’t affected","No change in amount of academic work","I wasn't [art of the university back then, and for now I've only experienced online classes so I can't tell if these events have affected me or not",""
"2020/11/12 9:37:46 PM AST","Minor changes to routine","Big changes to routine, did not affect performance","Minor changes to routine","N/a, wasn’t affected","Unable or difficult to find new routine, performance is affected","No change in amount of academic work","Less academic work than before","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","The pandemic has affected me most in comparison with the other events. I don't have the same study schedule and is hard to keep up with the assignments given.","Licenses for the programs that would be used for the laboratories "
"2020/11/12 10:48:55 PM AST","Big changes to routine, did not affect performance","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance is affected","Studying feels like a fruitless endeavor, performance is affected significantly","No change in amount of academic work","Less academic work than before","No change in amount of academic work","No change in amount of academic work","Academic work increased slightly, performance is affected","Studying now feels like a huge task. Not having my classmates around makes it really hard to endure everything going on with COVID 19. My mental and emotional health is not okay. It feels very overwhelming to study for something all by oneself and not have classmates to ease out the tension and frustrations. Everyone lives so far out and meeting up is just not an option. Taking online classes is much more difficult and I have a really small attention span - which had never happened to me before. It's overall very hard and complicated and stressful. ","Less academic work. And more asynchronous classes. It's so much better for students to be able to go back and forth on a lecture they might have trouble understanding, and also it's much more beneficial for students who have really bad internet access (like me, I take classes with other people in my house so my internet sucks). My connection comes and goes and I miss out on a lot of the information given as well as the participation questions asked by the professor. But I do understand that participation points are a way to give us a nice evaluation but it's just not fair when we don't all have perfect internet connection, electricity at all times or a quiet family. "
"2020/11/12 11:00:57 PM AST","N/a, wasn’t affected","Minor changes to routine","Minor changes to routine","Big changes to routine, did not affect performance","Studying feels like a fruitless endeavor, performance is affected significantly","N/a, wasn’t affected","No change in amount of academic work","No change in amount of academic work","Academic work increased slightly, performance is affected","Academic work doubled (or more), keeping up performance is very hard","",""
"2020/11/13 12:30:44 AM AST","N/a, wasn’t affected","Big changes to routine, did not affect performance","N/a, wasn’t affected","N/a, wasn’t affected","Unable or difficult to find new routine, performance is affected","N/a, wasn’t affected","No change in amount of academic work","N/a, wasn’t affected","No change in amount of academic work","Academic work increased slightly, performance is affected","I feel overwhelmed. I need to have more discipline, more enthusiasm, and be more motivated to find hours in the day to study. Because in the comfort of my home, I'm more relaxed and therefore don't have the enough pressure to study by myself.","Money so we can supply our increase in technological needs in these times. "
"2020/11/13 1:22:06 AM AST","N/a, wasn’t affected","Big changes to routine, did not affect performance","Minor changes to routine","Minor changes to routine","Unable or difficult to find new routine, performance is affected","N/a, wasn’t affected","Less academic work than before","No change in amount of academic work","No change in amount of academic work","Academic work increased slightly, performance is affected","",""
"2020/11/13 1:27:31 AM AST","N/a, wasn’t affected","Unable or difficult to find new routine, performance was affected","Minor changes to routine","Minor changes to routine","Unable or difficult to find new routine, performance is affected","N/a, wasn’t affected","No change in amount of academic work","No change in amount of academic work","Academic work increased slightly, performance is affected","Academic work increased slightly, performance is affected","Sense of chaos made it difficult to find motivation to study. There is a lingering feeling of doing hard work only to obtain a non-satisfying, though successful, payoff.","Traditional classes (""clases presenciales"") or a hybrid of online and traditional classes with required COVID-19 safety precautions."
"2020/11/13 2:25:38 AM AST","Pretty much identical study habits","Unable or difficult to find new routine, performance was affected","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance is affected","Studying feels like a fruitless endeavor, performance is affected significantly","Academic work increased slightly, performance was affected","No change in amount of academic work","Academic work doubled (or more), keeping up performance was very hard","Academic work increased slightly, performance is affected","Academic work doubled (or more), keeping up performance is very hard","They definitely have made all of my years at the university so much harder. Usually if my routine ends up disrupted its very hard for me to be able to catch up since work keeps piling up and I also work as a waitress. Academic Performance has definitely taken too many beats ","Instead of taking away free days and trying to finish in a certain amount of time, they should have just extended the semester the amount of days that were taken. Sometimes not giving us time to breathe (taking away free days) or trying to make us finish university as soon as possible just made us feel worse and some people just shut down. We need to have time for ourselves and for catching up"
"2020/11/13 11:22:10 AM AST","Minor changes to routine","Unable or difficult to find new routine, performance was affected","Minor changes to routine","Unable or difficult to find new routine, performance is affected","Studying feels like a fruitless endeavor, performance is affected significantly","Academic work increased slightly, performance was affected","No change in amount of academic work","Academic work increased slightly, performance was affected","Academic work increased slightly, performance is affected","No change in amount of academic work","Exhausted, frustrated",""
"2020/11/13 1:10:10 PM AST","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance was affected","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance is affected","Studying feels like a fruitless endeavor, performance is affected significantly","No change in amount of academic work","No change in amount of academic work","No change in amount of academic work","No change in amount of academic work","No change in amount of academic work","",""
"2020/11/13 7:21:47 PM AST","Minor changes to routine","Studying felt like a fruitless endeavor, performance was affected significantly","Big changes to routine, did not affect performance","Big changes to routine, did not affect performance","Unable or difficult to find new routine, performance is affected","Less academic work than before","Significantly less or no academic work","No change in amount of academic work","No change in amount of academic work","Significantly less or no academic work","The student strikes, the power outages, and the quakes did not affect my academic performance as much as Hurricane María and the pandemic. A bit too much free time on my hands makes me kind of lazy if I'm not feeling a slight pressure, especially if academic work is reduced (which is what happened to me during the student strikes). After Hurricane María, I didn't have any power in my apartment for approximately 3 months. I had to drive to Mayagüez and other places to be able to connect to WiFi in order to study and to keep up with my duties as a TA. It was very stressful and exhausting for me and my anxiety disorder was more active than ever. I ended up dropping out of a class. For the power outages, I would drive to a place close to my apartment with power generators to charge my electronic devices and connect to WiFi. It's a useful temporary measure, but having to drive out every time the power went out was a bit draining. During the aftermath of the quakes, I was more alert since I live in an area close to the epicenters. I was ready to leave for Área Metro if a strong quake hit, even if I had set aside my research project for some time. Thankfully, I didn't have to take any drastic measures. And lastly, I wasn't able to access my lab for months because of the pandemic. This caused a huge delay for my thesis.","Consejería para la salud mental y manejo de tiempo, WiFi"
"2020/11/14 4:50:07 PM AST","Big changes to routine, did not affect performance","Big changes to routine, did not affect performance","Pretty much identical study habits","Pretty much identical study habits","Big changes to routine, did not affect performance","N/a, wasn’t affected","N/a, wasn’t affected","N/a, wasn’t affected","No change in amount of academic work","No change in amount of academic work","",""
"2020/11/15 12:14:47 PM AST","Pretty much identical study habits","Pretty much identical study habits","Big changes to routine, did not affect performance","Studying feels like a fruitless endeavor, performance is affected significantly","Studying feels like a fruitless endeavor, performance is affected significantly","Less academic work than before","Significantly less or no academic work","Significantly less or no academic work","Significantly less or no academic work","No change in amount of academic work","It has been tough to concentrate while being stuck at home",""
"2020/11/15 7:16:05 PM AST","Pretty much identical study habits","Pretty much identical study habits","Pretty much identical study habits","Pretty much identical study habits","Studying feels like a fruitless endeavor, performance is affected significantly","N/a, wasn’t affected","N/a, wasn’t affected","N/a, wasn’t affected","N/a, wasn’t affected","Academic work increased slightly, performance is affected","",""
"2020/11/16 1:55:27 PM AST","Studying felt like a fruitless endeavor, performance was affected significantly","Studying felt like a fruitless endeavor, performance was affected significantly","Big changes to routine, did not affect performance","Minor changes to routine","Studying feels like a fruitless endeavor, performance is affected significantly","Academic work increased slightly, performance was affected","Academic work increased slightly, performance was affected","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","",""
"2020/11/18 10:55:24 AM AST","Big changes to routine, did not affect performance","Big changes to routine, did not affect performance","Big changes to routine, did not affect performance","Minor changes to routine","Unable or difficult to find new routine, performance is affected","No change in amount of academic work","Less academic work than before","No change in amount of academic work","No change in amount of academic work","Academic work increased slightly, performance is affected","It made it hard to focus and learn","Not aa many aid. Some Professors uses online clases to increase work"
"2020/11/18 10:55:32 AM AST","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance was affected","Big changes to routine, did not affect performance","Unable or difficult to find new routine, performance is affected","Studying feels like a fruitless endeavor, performance is affected significantly","Academic work increased slightly, performance was affected","No change in amount of academic work","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","Of course 100% ","Online platform that really hekped trough the process, not only to put in asignments"
"2020/11/18 11:31:37 AM AST","Big changes to routine, did not affect performance","Big changes to routine, did not affect performance","Minor changes to routine","N/a, wasn’t affected","Unable or difficult to find new routine, performance is affected","No change in amount of academic work","Less academic work than before","N/a, wasn’t affected","N/a, wasn’t affected","Academic work doubled (or more), keeping up performance is very hard","It has been harder than ever to keep up with academic work. It seem like taking on line classes gave the professors the wrong idea that we have more time to complete their work. ","Open spaces in the campus to access internet, and for them to be open regarding if its a holiday or not"
"2020/11/18 11:31:43 AM AST","Minor changes to routine","Big changes to routine, did not affect performance","Big changes to routine, did not affect performance","Studying feels like a fruitless endeavor, performance is affected significantly","Studying feels like a fruitless endeavor, performance is affected significantly","No change in amount of academic work","Less academic work than before","Academic work increased slightly, performance was affected","Academic work doubled (or more), keeping up performance is very hard","Academic work doubled (or more), keeping up performance is very hard","",""
"2020/11/18 11:32:46 AM AST","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance was affected","Studying feels like a fruitless endeavor, performance is affected significantly","Studying feels like a fruitless endeavor, performance is affected significantly","Academic work increased slightly, performance was affected","Academic work increased slightly, performance was affected","Academic work increased slightly, performance was affected","Academic work doubled (or more), keeping up performance is very hard","Academic work doubled (or more), keeping up performance is very hard","Emotionally and physically drained.","Comprehended that not every student situation is similar and encourage the professors to motivate the student not drained them to finished the semester. "
"2020/11/18 11:38:18 AM AST","N/a, wasn’t affected","Big changes to routine, did not affect performance","Pretty much identical study habits","N/a, wasn’t affected","Unable or difficult to find new routine, performance is affected","N/a, wasn’t affected","Less academic work than before","N/a, wasn’t affected","N/a, wasn’t affected","Academic work doubled (or more), keeping up performance is very hard","",""
"2020/11/18 11:45:16 AM AST","N/a, wasn’t affected","Unable or difficult to find new routine, performance was affected","Big changes to routine, did not affect performance","Unable or difficult to find new routine, performance is affected","Studying feels like a fruitless endeavor, performance is affected significantly","Less academic work than before","No change in amount of academic work","No change in amount of academic work","Academic work increased slightly, performance is affected","Academic work doubled (or more), keeping up performance is very hard","It's taken out most of the motivation for studying and that, in turn, has lowered my academic performance. Most professors have not taken any measure to reassure the students in their learning. Personally, online classes play against me in the sense that it takes a lot more for me to concentrate and the environment that I have to study in has external factors which inevitably make it hard to listen in class and therefore keeping myself concentrated is affected greatly. Adding to that the strictness of the professors fearing that all my work is copied instead of my own it adds more stress and anxiety. My academic performance has plummeted due to all these factors, and probably more.","1. A better communication system between students and academic authorities that prioritizes the students and helps to keep professors accountable.
2. Open a clean and safe space for low income students to benefit from resources like: printing, internet connection, student tutors, etc. 
3. Establish a mental health routinely checkup for students to receive any help possible in this matter."
"2020/11/18 11:59:49 AM AST","Big changes to routine, did not affect performance","Big changes to routine, did not affect performance","Unable or difficult to find new routine, performance was affected","Pretty much identical study habits","Big changes to routine, did not affect performance","No change in amount of academic work","No change in amount of academic work","No change in amount of academic work","No change in amount of academic work","Academic work increased slightly, performance is affected","Sad","Centers of study. Open Library"
"2020/11/18 12:07:11 PM AST","Unable or difficult to find new routine, performance was affected","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance was affected","Big changes to routine, did not affect performance","Unable or difficult to find new routine, performance is affected","Academic work increased slightly, performance was affected","Academic work doubled (or more), keeping up performance was very hard","No change in amount of academic work","No change in amount of academic work","Academic work increased slightly, performance is affected","In most cases during—or immediately after—these disruptive events, the amount of work the professors gave us students skyrocketed in attempts to bring the semester to a close ""on time"". We students were, in most cases, thus forced to manage the workload under stress while attempting to understand the subjects with little help from most professors.

The increase of workload by the professors and the lack of accountability and support towards the students by the university as an institution made it harder for us students to perform optimally. This in turn caused recurrent and constant mental health crises in the student body.","• Provide the students with quick support when they report a professor for sending work that exceeds the credit hours of the class or not making the classes asynchronous (if during online classes).
• If the Event causes economical crises (i.e. Hurricane Maria, Covid-19) search for ways to aid affected students.
• Offer free, accesible, and consistent psychological and academic counseling, and tutories for the student body."
"2020/11/18 12:07:43 PM AST","Big changes to routine, did not affect performance","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance was affected","Pretty much identical study habits","Studying feels like a fruitless endeavor, performance is affected significantly","No change in amount of academic work","Academic work increased slightly, performance was affected","Academic work increased slightly, performance was affected","No change in amount of academic work","N/a, wasn’t affected","","Free tuition"
"2020/11/18 12:13:40 PM AST","Big changes to routine, did not affect performance","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance is affected","Studying feels like a fruitless endeavor, performance is affected significantly","Significantly less or no academic work","Significantly less or no academic work","Significantly less or no academic work","Significantly less or no academic work","Significantly less or no academic work","Most of those events affected my motivation to study overall.","Add more personal that are capable of giving online classes. Better internet services to limit the disruption cause by the weather and maybe send some funds to students that can’t afford some equipment."
"2020/11/18 12:19:19 PM AST","Big changes to routine, did not affect performance","Big changes to routine, did not affect performance","Minor changes to routine","Unable or difficult to find new routine, performance is affected","Studying feels like a fruitless endeavor, performance is affected significantly","No change in amount of academic work","Less academic work than before","No change in amount of academic work","Academic work increased slightly, performance is affected","Academic work doubled (or more), keeping up performance is very hard","Although my performance was not always affected, my mental stability and health suffered the burden of the increase in workload","Better orientation to professors over how to effectively give online classes and how to realistically give material that takes the credit hours for the course and not more"
"2020/11/18 12:36:34 PM AST","Unable or difficult to find new routine, performance was affected","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance was affected","Big changes to routine, did not affect performance","Big changes to routine, did not affect performance","No change in amount of academic work","Less academic work than before","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","They disrupted my routines and professores where not empathic","More empathy from the faculty"
"2020/11/18 12:39:18 PM AST","Unable or difficult to find new routine, performance was affected","Studying felt like a fruitless endeavor, performance was affected significantly","Big changes to routine, did not affect performance","Minor changes to routine","Studying feels like a fruitless endeavor, performance is affected significantly","Academic work increased slightly, performance was affected","Academic work increased slightly, performance was affected","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","The mental effect that the strike of 2017 had on my views about college life made it hard for me to take things seriously, since it felt as if classes could just be canceled by students. The hurricane left me and my family without power for 8 months, and even though I was in Mayagüez during the week, I had a job in Gurabo weekends, this made studying on weekends very complicated since I had no power. Then the administration decided to continue clases on November to early January, even though we lost the whole month of October and half of September. The rate at which work was being thrown out increased and made it hard to keep up. Lastly the pandemic and quarantine have made taking classes seriously very hard, what is the purpose of studying for a future that is quite possibly never going to be here or even worst a future that will change so drastically that it wont matter, this is worsen by the fact that some profesors are not proficient in their usage of technology and therefore cannot give a good class ","The CARES act during the pandemic should have been granted to ALL students. I do not recieve the PELL grant, and even though my mom can afford to pay for tuition the cost of living has increased significantly. I bought new equipment to optimize my performance during online classes and begun paying subscriptions for different computer programs so that I could do most things from my computer. The cost of food has gone up. Many students including myself and my sister had to get jobs just to help out in the house since our families were not prepared to have us back in."
"2020/11/18 12:44:49 PM AST","Big changes to routine, did not affect performance","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance was affected","Big changes to routine, did not affect performance","Studying feels like a fruitless endeavor, performance is affected significantly","No change in amount of academic work","Academic work increased slightly, performance was affected","Less academic work than before","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","Stress is increased along with academic work, making it hard to concentrate on studying, since everything around you becomes a point of concern.","Counseling, additional time for assignments, a way to communicate our needs with personnel (beyond professors), alternatives for lack of power/internet/etc.  "
"2020/11/18 12:45:27 PM AST","Minor changes to routine","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance is affected","Minor changes to routine","No change in amount of academic work","No change in amount of academic work","No change in amount of academic work","No change in amount of academic work","No change in amount of academic work","These events cauased a great deal of added stress and anxiety, sometimes making it difficult to form a routine at all.","N/A"
"2020/11/18 12:51:39 PM AST","N/a, wasn’t affected","Unable or difficult to find new routine, performance was affected","N/a, wasn’t affected","Pretty much identical study habits","Studying feels like a fruitless endeavor, performance is affected significantly","N/a, wasn’t affected","No change in amount of academic work","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","The times were in have affected the education system very deeply. I feel like there is not an honest connection between what the professor and the student and very little learnung is happenung because of this.","In some cases, the CARES Aid really helped last semester with some of the tough situations but this semester my workload has doubled and it has been very hard to get keep up with all the resources needed to perform well."
"2020/11/18 12:54:15 PM AST","Big changes to routine, did not affect performance","Studying felt like a fruitless endeavor, performance was affected significantly","Minor changes to routine","Pretty much identical study habits","Minor changes to routine","Academic work increased slightly, performance was affected","Less academic work than before","No change in amount of academic work","No change in amount of academic work","No change in amount of academic work","Though my performance was pretty much the same, I had to make big adjustments in my routine to ensure that I didn't lower my grades due to the ongoing events which led to being even more stressed.","Provide more well equiped spaces on-campus to study and do work. Force professors to give more time to do work and to be more mindful of the situations going on as to not overwhelm the student. "
"2020/11/18 2:26:41 PM AST","Big changes to routine, did not affect performance","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance was affected","Pretty much identical study habits","Big changes to routine, did not affect performance","Academic work doubled (or more), keeping up performance was very hard","Academic work doubled (or more), keeping up performance was very hard","No change in amount of academic work","No change in amount of academic work","Academic work increased slightly, performance is affected","Harder to study in every case, but professor's were only understanding in some cases. ","Actually asynchronous classes with more generous time windows. "
"2020/11/18 3:26:15 PM AST","Big changes to routine, did not affect performance","N/a, wasn’t affected","Minor changes to routine","Pretty much identical study habits","Studying feels like a fruitless endeavor, performance is affected significantly","Less academic work than before","N/a, wasn’t affected","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","The C19 completely changed my life, not just academic performance. Not everything is negative in the online university format, but given forced transition the negatives have outweighed the positives. I feel, overall, my performance has greatly diminished, along with my motivation to graduate and face this crippled world.","Give the professors the proper tools to work from home which would in turn help the students receive a higher quality education."
"2020/11/20 12:17:17 PM AST","Big changes to routine, did not affect performance","Unable or difficult to find new routine, performance was affected","Minor changes to routine","Minor changes to routine","Unable or difficult to find new routine, performance is affected","No change in amount of academic work","No change in amount of academic work","No change in amount of academic work","No change in amount of academic work","Academic work increased slightly, performance is affected","Increased stress and lack of concentration by being overwhelmed with the experiences.","There should be psychologists aiding the students and professors should be trained to know how to deal better with this situations. "
"2020/11/23 5:00:52 PM AST","Minor changes to routine","Big changes to routine, did not affect performance","N/a, wasn’t affected","Studying feels like a fruitless endeavor, performance is affected significantly","N/a, wasn’t affected","No change in amount of academic work","Less academic work than before","No change in amount of academic work","No change in amount of academic work","Academic work increased slightly, performance is affected","N/a",""